Sentence,Pattern Order,Chunks
The soldiers who our old soldier read old.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The soldiers who our old soldier reads old.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The soldiers who our ready keys run ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The soldiers who our ready keys runs ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The doors who our old blankets have old.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The doors who our old blankets has old.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 7, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 7, 'VP'), (6, 7, 'RC')]"
The team which our early door jumps early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The team which our early door jump early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The teams who our damaged soldier run damaged.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 7, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 7, 'VP'), (6, 7, 'RC'), (7, 8, 'VP')]"
The teams who our damaged soldier runs damaged.,NP -> NP -> RC VP -> RC -> VP,"[(0, 2, 'NP'), (1, 7, 'NP -> RC VP'), (2, 3, 'RC'), (6, 3, 'NP -> RC VP'), (6, 7, 'RC'), (7, 8, 'VP')]"
The chair that our ornate officer is ornate.,NP -> VP,"[(0, 2, 'NP'), (3, 6, 'NP'), (6, 8, 'VP')]"
The chair that our ornate officer are ornate.,NP -> VP,"[(0, 2, 'NP'), (3, 6, 'NP'), (6, 8, 'VP')]"
The committee that our damaged blanket speaks damaged.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 7, 'NP -> RC VP'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 7, 'VP'), (6, 7, 'RC'), (7, 10, 'VP')]"
The committee that our damaged blanket speak damaged.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (4, 5, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The key that our new officer reads new.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The key that our new officer read new.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The chairs which our early blanket were early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The chairs which our early blanket was early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The soldier who our damaged blankets writes damaged.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The soldier who our damaged blankets write damaged.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 7, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 7, 'VP'), (6, 7, 'RC'), (7, 10, 'VP')]"
The reports which our ready report write ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The reports which our ready report writes ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The report which our ready soldiers runs ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The report which our ready soldiers run ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The committee that our missing tables was missing.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The committee that our missing tables were missing.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The staff that our guilty chair writes guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The staff that our guilty chair write guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The table that our ornate cabinet was ornate.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The table that our ornate cabinet were ornate.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The report that our late table was late.,NP -> VP,"[(0, 2, 'NP'), (3, 6, 'NP'), (6, 8, 'VP')]"
The report that our late table were late.,NP -> VP,"[(0, 2, 'NP'), (3, 6, 'NP'), (6, 8, 'VP')]"
The cabinet which our Victorian soldiers was Victorian.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The cabinet which our Victorian soldiers were Victorian.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The cabinets that our important table were important.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The cabinets that our important table was important.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The reports which our old book have old.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The reports which our old book has old.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The committee who our important reports has important.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The committee who our important reports have important.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The windows who our new officer write new.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The windows who our new officer writes new.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The key which our guilty windows was guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The key which our guilty windows were guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The tables who our ready officer are ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The tables who our ready officer is ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The cabinet who our old reports reads old.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The cabinet who our old reports read old.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The staff who our early officer has early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The staff who our early officer have early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The door which our guilty cabinet jumps guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The door which our guilty cabinet jump guilty.,NP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'RC'), (6, 3, 'NP -> RC VP'), (6, 8, 'RC')]"
The committee who our senior reports runs senior.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The committee who our senior reports run senior.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The staff that our ornate blanket speaks ornate.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 7, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 7, 'VP'), (6, 7, 'RC'), (7, 10, 'VP')]"
The staff that our ornate blanket speak ornate.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 7, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 7, 'VP'), (6, 7, 'RC')]"
The books who our damaged chair were damaged.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 7, 'VP'), (7, 8, 'VP'), (7, 8, 'RC')]"
The books who our damaged chair was damaged.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 7, 'VP'), (7, 8, 'VP'), (7, 8, 'RC')]"
The committee who our late windows has late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The committee who our late windows have late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The officers who our guilty blanket jump guilty.,NP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (6, 3, 'NP -> RC VP'), (6, 8, 'RC')]"
The officers who our guilty blanket jumps guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The officers that our late soldier run late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The officers that our late soldier runs late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The report who our missing windows speaks missing.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The report who our missing windows speak missing.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The chairs that our missing key have missing.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 7, 'VP'), (7, 8, 'VP'), (7, 8, 'RC')]"
The chairs that our missing key has missing.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 7, 'VP'), (7, 8, 'VP'), (7, 8, 'RC')]"
The chairs which our late committee have late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The chairs which our late committee has late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The books who our innocent reports are innocent.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The books who our innocent reports is innocent.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The books which our missing soldier were missing.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The books which our missing soldier was missing.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The keys who our Victorian officers read Victorian.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'NP')]"
The keys who our Victorian officers reads Victorian.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'NP')]"
The books that our ornate team write ornate.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The books that our ornate team writes ornate.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 7, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 7, 'VP'), (6, 7, 'RC')]"
The blanket that our important cabinets runs important.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The blanket that our important cabinets run important.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The windows who our damaged cabinet have damaged.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 7, 'VP'), (7, 8, 'VP'), (7, 8, 'RC')]"
The windows who our damaged cabinet has damaged.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 7, 'VP'), (7, 8, 'VP'), (7, 8, 'RC')]"
The teams who our late soldiers read late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
